amount,transaction_type,account_age,customer_location,merchant_category,is_fraud
1200,Online,3,Hyderabad,Electronics,0
500,Offline,5,Bengaluru,Groceries,0
7500,Online,1,Chennai,Luxury,1
2200,Online,2,Pune,Travel,0
150,Offline,4,Hyderabad,Utilities,0
9800,Online,1,Chennai,Electronics,1
430,Offline,6,Bengaluru,Clothing,0
6200,Online,1,Pune,Food,1
3100,Online,3,Hyderabad,Luxury,0
120,Offline,8,Bengaluru,Groceries,0
8500,Online,2,Chennai,Travel,1
270,Offline,5,Hyderabad,Utilities,0
5400,Online,2,Pune,Clothing,0
8900,Online,1,Chennai,Luxury,1
2100,Offline,6,Bengaluru,Food,0
15000,Online,0,Hyderabad,Electronics,1
720,Offline,7,Pune,Groceries,0
9500,Online,1,Chennai,Luxury,1
420,Offline,6,Bengaluru,Utilities,0
6800,Online,2,Hyderabad,Travel,1
